text,label
Замечательный продукт,positive
"Средне, без восторга — продукт!",neutral
это худший фильм!,negative
Мне очень понравился приложение,positive
"Все супер, товар радует",positive
очень плохо работает фильм! очень,negative
Крайне недоволен сервис,negative
Обычный товар,neutral
"Просто идеально, заказ!",positive
"Все супер, заказ радует!",positive
"не плохо, но и не хорошо — заказ",neutral
Качество плохое у ноутбук,negative
Отличный выбор — приложение,positive
"Не лучший вариант, но сойдет — заказ! очень",neutral
Могло быть лучше — курс!,neutral
"Не впечатлил, но и не разочаровал — сервис",neutral
"Скорее нормально, чем хорошо — курс!",neutral
"не очень, но пользоваться можно — заказ!",neutral
"средне, без восторга — телефон! очень",neutral
"прекрасный фильм, рекомендую",positive
Я в восторге от приложение! очень,positive
качество плохое у сервис,negative
Ужасный продукт,negative
Отличный выбор — приложение,positive
"Все супер, сервис радует",positive
"Есть минусы, но в целом нормально — приложение",neutral
Отличный выбор — телефон,positive
Пойдет ноутбук,neutral
"все супер, курс радует",positive
"Просто идеально, приложение",positive
Отличное качество сервис,positive
"лучший сервис, который я видел! очень",positive
"Не очень, но пользоваться можно — продукт",neutral
Деньги потрачены зря на магазин,negative
Никогда больше не куплю телефон!,negative
Очень плохо работает заказ,negative
"Есть минусы, но в целом нормально — товар",neutral
Пойдет телефон,neutral
Отличный выбор — приложение,positive
Очень плохо работает магазин!,negative
Мне очень понравился сервис,positive
В целом фильм норм!,neutral
"Не вау, но нормально — товар",neutral
Не рекомендую этот курс,negative
Ужасный товар,negative
Так себе магазин,neutral
Очень разочарован приложение,negative
"Скорее нормально, чем хорошо — курс",neutral
Качество плохое у телефон,negative
можно использовать магазин!,neutral
В целом телефон норм,neutral
"Просто идеально, сервис!",positive
Крайне недоволен заказ!,negative
"Прекрасный сервис, рекомендую",positive
Отличный выбор — ноутбук!,positive
Отличное качество товар,positive
Средний продукт,neutral
"Есть минусы, но в целом нормально — магазин!",neutral
"Просто идеально, приложение!",positive
замечательный телефон,positive
Я очень доволен приложение,positive
Отличное качество сервис,positive
"Не очень, но пользоваться можно — продукт",neutral
Можно использовать приложение,neutral
Деньги потрачены зря на приложение,negative
"Не вау, но нормально — ноутбук",neutral
Это худший телефон,negative
Качество плохое у телефон!,negative
Обычный товар! очень,neutral
Это худший заказ,negative
"Разочарование, а не магазин",negative
"Как и ожидалось, фильм!",neutral
"Просто идеально, сервис очень",positive
Я очень доволен ноутбук!,positive
Отличное качество магазин,positive
Замечательный заказ,positive
Ужасный телефон,negative
"Не впечатлил, но и не разочаровал — ноутбук!",neutral
отличное качество заказ!,positive
